Target Name,RA (J2000.0),Dec. (J2000.0),Proposal ID,Start Date,Sequence Number,Instrument,Filter,Int. Time,Field of View,Obs. Type,Intent,Product ID,Obs. ID,DOWNLOADABLE
oCeti,34.84320314,-2.964638968,JCMTCAL,56316.24826,17,SCUBA-2,SCUBA-2-850um,257,0.072674677,pointing,science,raw-850um,scuba2_00017_20130124T055713,caom:JCMT/scuba2_00017_20130124T055713/raw-850um
oCeti,34.84306407,-2.964916739,JCMTCAL,56317.32976,25,SCUBA-2,SCUBA-2-850um,257,0.068614389,pointing,science,raw-850um,scuba2_00025_20130125T075440,caom:JCMT/scuba2_00025_20130125T075440/raw-850um
oCeti,34.84348129,-2.96450008,JCMTCAL,56316.28223,20,SCUBA-2,SCUBA-2-850um,254,0.073802208,pointing,science,raw-850um,scuba2_00020_20130124T064612,caom:JCMT/scuba2_00020_20130124T064612/raw-850um
oCeti,34.83249441,-2.975055569,JCMTCAL,56293.2281,14,SCUBA-2,SCUBA-2-850um,245,0.07252453,pointing,science,raw-850um,scuba2_00014_20130101T052814,caom:JCMT/scuba2_00014_20130101T052814/raw-850um
oCeti,34.84278592,-2.962555638,JCMTCAL,56339.23498,17,SCUBA-2,SCUBA-2-850um,247,0.06326584,pointing,science,raw-850um,scuba2_00017_20130216T053743,caom:JCMT/scuba2_00017_20130216T053743/raw-850um
oCeti,34.84348129,-2.964638967,JCMTCAL,56337.24088,29,SCUBA-2,SCUBA-2-850um,296,0.072974519,pointing,science,raw-850um,scuba2_00029_20130214T054641,caom:JCMT/scuba2_00029_20130214T054641/raw-850um
oCeti,34.84334222,-2.964638967,JCMTCAL,56331.26373,21,SCUBA-2,SCUBA-2-850um,263,0.072300762,pointing,science,raw-850um,scuba2_00021_20130208T061933,caom:JCMT/scuba2_00021_20130208T061933/raw-850um
oCeti,34.83721745,-2.950611341,JCMTCAL,56536.5978,47,SCUBA-2,SCUBA-2-850um,231,0.072730239,pointing,science,raw-850um,scuba2_00047_20130901T142016,caom:JCMT/scuba2_00047_20130901T142016/raw-850um
oCeti,34.83207718,-2.976305559,JCMTCAL,56562.47465,36,SCUBA-2,SCUBA-2-850um,186,0.074179601,pointing,science,raw-850um,scuba2_00036_20130927T112217,caom:JCMT/scuba2_00036_20130927T112217/raw-850um
oCeti,34.84348129,-2.964777856,JCMTCAL,56562.61098,49,SCUBA-2,SCUBA-2-850um,186,0.073651439,pointing,science,raw-850um,scuba2_00049_20130927T143937,caom:JCMT/scuba2_00049_20130927T143937/raw-850um
oCeti,34.83360707,-2.949916881,JCMTCAL,56563.54199,48,SCUBA-2,SCUBA-2-850um,186,0.064602095,pointing,science,raw-850um,scuba2_00048_20130928T125937,caom:JCMT/scuba2_00048_20130928T125937/raw-850um
oCeti,34.836522,-2.975194457,JCMTCAL,56537.55741,44,SCUBA-2,SCUBA-2-850um,270,0.073123751,pointing,science,raw-850um,scuba2_00044_20130902T132152,caom:JCMT/scuba2_00044_20130902T132152/raw-850um
oCeti,34.83513125,-2.97394446,JCMTCAL,56545.54553,46,SCUBA-2,SCUBA-2-850um,191,0.073500057,pointing,science,raw-850um,scuba2_00046_20130910T130424,caom:JCMT/scuba2_00046_20130910T130424/raw-850um
oCeti,34.84778703,-2.964638967,JCMTCAL,56552.6208,52,SCUBA-2,SCUBA-2-850um,184,0.073953209,pointing,science,raw-850um,scuba2_00052_20130917T145323,caom:JCMT/scuba2_00052_20130917T145323/raw-850um
oCeti,34.84250777,-2.962694525,JCMTCAL,56565.56081,45,SCUBA-2,SCUBA-2-850um,186,0.06180706,pointing,science,raw-850um,scuba2_00045_20130930T132721,caom:JCMT/scuba2_00045_20130930T132721/raw-850um
oCeti,34.84556751,-2.979638838,JCMTCAL,56625.32084,39,SCUBA-2,SCUBA-2-850um,190,0.086036072,pointing,science,raw-850um,scuba2_00039_20131129T074147,caom:JCMT/scuba2_00039_20131129T074147/raw-850um
oCeti,34.8333289,-2.960472344,JCMTCAL,56614.36979,23,SCUBA-2,SCUBA-2-850um,187,0.067118734,pointing,science,raw-850um,scuba2_00023_20131118T085122,caom:JCMT/scuba2_00023_20131118T085122/raw-850um
oCeti,34.82707054,-2.965472298,JCMTCAL,56639.32792,19,SCUBA-2,SCUBA-2-850um,273,0.075212022,pointing,science,raw-850um,scuba2_00019_20131213T075200,caom:JCMT/scuba2_00019_20131213T075200/raw-850um
oCeti,34.85641512,-2.962416591,JCMTCAL,56625.45334,52,SCUBA-2,SCUBA-2-850um,189,0.07032637,pointing,science,raw-850um,scuba2_00052_20131129T105238,caom:JCMT/scuba2_00052_20131129T105238/raw-850um
