Target Name,RA (J2000.0),Dec. (J2000.0),Proposal ID,Start Date,Sequence Number,Instrument,Filter,Int. Time,Obs. Type,Intent,Product ID,Obs. ID,DOWNLOADABLE
oCeti,34.83805742,-2.969027819,JCMTCAL,55809.66324,53,SCUBA-2,SCUBA-2-850um,372,pointing,science,raw-850um,scuba2_00053_20110905T155504,caom:JCMT/scuba2_00053_20110905T155504/raw-850um
oCeti,34.83764019,-2.966944498,JCMTCAL,55845.56517,47,SCUBA-2,SCUBA-2-850um,368,pointing,science,raw-850um,scuba2_00047_20111011T133351,caom:JCMT/scuba2_00047_20111011T133351/raw-850um
oCeti,34.83527593,-2.959583427,JCMTCAL,55809.61703,50,SCUBA-2,SCUBA-2-850um,370,pointing,science,raw-850um,scuba2_00050_20110905T144831,caom:JCMT/scuba2_00050_20110905T144831/raw-850um
oCeti,34.83736204,-2.96736116,JCMTCAL,55845.52811,45,SCUBA-2,SCUBA-2-850um,384,pointing,science,raw-850um,scuba2_00045_20111011T124029,caom:JCMT/scuba2_00045_20111011T124029/raw-850um
oCeti,34.83416334,-2.958888981,JCMTCAL,55810.60609,50,SCUBA-2,SCUBA-2-850um,378,pointing,science,raw-850um,scuba2_00050_20110906T143246,caom:JCMT/scuba2_00050_20110906T143246/raw-850um
oCeti,34.83430237,-2.978055553,JCMTCAL,55850.37245,15,SCUBA-2,SCUBA-2-850um,207,pointing,science,raw-850um,scuba2_00015_20111016T085620,caom:JCMT/scuba2_00015_20111016T085620/raw-850um
oCeti,34.83736205,-2.984583295,JCMTCAL,55778.48378,55,SCUBA-2,SCUBA-2-850um,189,pointing,science,raw-850um,scuba2_00055_20110805T113639,caom:JCMT/scuba2_00055_20110805T113639/raw-850um
oCeti,34.82150739,-2.978055452,JCMTCAL,55851.41553,16,SCUBA-2,SCUBA-2-850um,207,pointing,science,raw-850um,scuba2_00016_20111017T095822,caom:JCMT/scuba2_00016_20111017T095822/raw-850um
oCeti,34.83764019,-2.967083385,JCMTCAL,55816.6638,49,SCUBA-2,SCUBA-2-850um,368,pointing,science,raw-850um,scuba2_00049_20110912T155552,caom:JCMT/scuba2_00049_20110912T155552/raw-850um
oCeti,34.83722297,-2.967500048,JCMTCAL,55845.60455,50,SCUBA-2,SCUBA-2-850um,363,pointing,science,raw-850um,scuba2_00050_20111011T143033,caom:JCMT/scuba2_00050_20111011T143033/raw-850um
oCeti,34.83221626,-2.97561112,JCMTCAL,55921.23819,17,SCUBA-2,SCUBA-2-850um,212,pointing,science,raw-850um,scuba2_00017_20111226T054300,caom:JCMT/scuba2_00017_20111226T054300/raw-850um
oCeti,34.84334222,-2.964777855,JCMTCAL,55923.3786,40,SCUBA-2,SCUBA-2-850um,263,pointing,science,raw-850um,scuba2_00040_20111228T090511,caom:JCMT/scuba2_00040_20111228T090511/raw-850um
oCeti,34.84348129,-2.96450008,JCMTCAL,55921.36652,33,SCUBA-2,SCUBA-2-850um,267,pointing,science,raw-850um,scuba2_00033_20111226T084747,caom:JCMT/scuba2_00033_20111226T084747/raw-850um
oCeti,34.84334222,-2.964777855,JCMTCAL,55911.35912,52,SCUBA-2,SCUBA-2-850um,289,pointing,science,raw-850um,scuba2_00052_20111216T083708,caom:JCMT/scuba2_00052_20111216T083708/raw-850um
oCeti,34.82915668,-2.959583392,JCMTCAL,55851.47961,22,SCUBA-2,SCUBA-2-850um,210,pointing,science,raw-850um,scuba2_00022_20111017T113038,caom:JCMT/scuba2_00022_20111017T113038/raw-850um
oCeti,34.83764019,-2.967083385,JCMTCAL,55851.53072,31,SCUBA-2,SCUBA-2-850um,257,pointing,science,raw-850um,scuba2_00031_20111017T124414,caom:JCMT/scuba2_00031_20111017T124414/raw-850um
oCeti,34.83471959,-2.984861079,JCMTCAL,55779.5461,70,SCUBA-2,SCUBA-2-850um,328,pointing,science,raw-850um,scuba2_00070_20110806T130623,caom:JCMT/scuba2_00070_20110806T130623/raw-850um
