Target Name,RA (J2000.0),Dec. (J2000.0),Proposal ID,Start Date,Sequence Number,Instrument,Filter,Int. Time,Obs. Type,Intent,Product ID,Obs. ID,DOWNLOADABLE
IRC+10216,146.9850281241,13.2871388006,JCMTCAL,56615.6017477,57,SCUBA-2,SCUBA-2-450um,187,pointing,science,raw-450um,scuba2_00057_20131119T142626,caom:JCMT/scuba2_00057_20131119T142626/raw-450um
IRC+10216,146.9983001687,13.2922775017,JCMTCAL,56383.4300463,31,SCUBA-2,SCUBA-2-450um,260,pointing,science,raw-450um,scuba2_00031_20130401T101848,caom:JCMT/scuba2_00031_20130401T101848/raw-450um
IRC+10216,146.9917354357,13.2897776712,JCMTCAL,56327.5142014,43,SCUBA-2,SCUBA-2-450um,134,pointing,science,raw-450um,scuba2_00043_20130204T121839,caom:JCMT/scuba2_00043_20130204T121839/raw-450um
IRC+10216,146.9933051473,13.2838054881,JCMTCAL,56311.4166435,28,SCUBA-2,SCUBA-2-450um,177,pointing,science,raw-450um,scuba2_00028_20130119T095930,caom:JCMT/scuba2_00028_20130119T095930/raw-450um
IRC+10216,146.9858844076,13.285333264,JCMTCAL,56371.376169,25,SCUBA-2,SCUBA-2-450um,170,pointing,science,raw-450um,scuba2_00025_20130320T090034,caom:JCMT/scuba2_00025_20130320T090034/raw-450um
IRC+10216,146.9997272609,13.2918607842,JCMTCAL,56349.4455324,43,SCUBA-2,SCUBA-2-450um,263,pointing,science,raw-450um,scuba2_00043_20130226T104052,caom:JCMT/scuba2_00043_20130226T104052/raw-450um
IRC+10216,146.9997272609,13.2918607842,JCMTCAL,56364.4292361,21,SCUBA-2,SCUBA-2-450um,175,pointing,science,raw-450um,scuba2_00021_20130313T101501,caom:JCMT/scuba2_00021_20130313T101501/raw-450um
IRC+10216,146.9917353723,13.283249956,JCMTCAL,56296.4766667,45,SCUBA-2,SCUBA-2-450um,172,pointing,science,raw-450um,scuba2_00045_20130104T112559,caom:JCMT/scuba2_00045_20130104T112559/raw-450um
IRC+10216,146.998585585,13.2921386033,JCMTCAL,56317.6052083,54,SCUBA-2,SCUBA-2-450um,172,pointing,science,raw-450um,scuba2_00054_20130125T143102,caom:JCMT/scuba2_00054_20130125T143102/raw-450um
IRC+10216,146.9796058966,13.2706110068,JCMTCAL,56348.3940394,39,SCUBA-2,SCUBA-2-450um,176,pointing,science,raw-450um,scuba2_00039_20130225T092658,caom:JCMT/scuba2_00039_20130225T092658/raw-450um
IRC+10216,146.991307259,13.2836666257,JCMTCAL,56340.3665046,30,SCUBA-2,SCUBA-2-450um,260,pointing,science,raw-450um,scuba2_00030_20130217T084715,caom:JCMT/scuba2_00030_20130217T084715/raw-450um
IRC+10216,146.9930197365,13.2838054955,JCMTCAL,56339.3577199,31,SCUBA-2,SCUBA-2-450um,258,pointing,science,raw-450um,scuba2_00031_20130216T083441,caom:JCMT/scuba2_00031_20130216T083441/raw-450um
IRC+10216,146.9943040708,13.2831110259,JCMTCAL,56340.3014352,25,SCUBA-2,SCUBA-2-450um,255,pointing,science,raw-450um,scuba2_00025_20130217T071035,caom:JCMT/scuba2_00025_20130217T071035/raw-450um
IRC+10216,146.9995845499,13.29186079,JCMTCAL,56338.4739236,64,SCUBA-2,SCUBA-2-450um,253,pointing,science,raw-450um,scuba2_00064_20130215T112029,caom:JCMT/scuba2_00064_20130215T112029/raw-450um
IRC+10216,147.0077183065,13.2821381928,JCMTCAL,56625.5349074,61,SCUBA-2,SCUBA-2-450um,189,pointing,science,raw-450um,scuba2_00061_20131129T124949,caom:JCMT/scuba2_00061_20131129T124949/raw-450um
IRC+10216,147.001610567,13.2921386471,JCMTCAL,56478.200162,4,SCUBA-2,SCUBA-2-450um,167,pointing,science,raw-450um,scuba2_00004_20130705T044804,caom:JCMT/scuba2_00004_20130705T044804/raw-450um
IRC+10216,146.9945894718,13.282694356,JCMTCAL,56326.330787,27,SCUBA-2,SCUBA-2-450um,168,pointing,science,raw-450um,scuba2_00027_20130203T075611,caom:JCMT/scuba2_00027_20130203T075611/raw-450um
IRC+10216,146.9971584835,13.2922775445,JCMTCAL,56409.3918287,24,SCUBA-2,SCUBA-2-450um,179,pointing,science,raw-450um,scuba2_00024_20130427T092352,caom:JCMT/scuba2_00024_20130427T092352/raw-450um
IRC+10216,146.9930197474,13.2844999349,JCMTCAL,56389.2362269,18,SCUBA-2,SCUBA-2-450um,178,pointing,science,raw-450um,scuba2_00018_20130407T053941,caom:JCMT/scuba2_00018_20130407T053941/raw-450um
IRC+10216,146.9937332551,13.2833888141,JCMTCAL,56357.2705671,13,SCUBA-2,SCUBA-2-450um,261,pointing,science,raw-450um,scuba2_00013_20130306T062614,caom:JCMT/scuba2_00013_20130306T062614/raw-450um
IRC+10216,146.9992991338,13.2919996882,JCMTCAL,56411.3202662,29,SCUBA-2,SCUBA-2-450um,173,pointing,science,raw-450um,scuba2_00029_20130429T074022,caom:JCMT/scuba2_00029_20130429T074022/raw-450um
IRC+10216,147.0082889205,13.2797770564,JCMTCAL,56640.4681829,24,SCUBA-2,SCUBA-2-450um,107,pointing,science,raw-450um,scuba2_00024_20131214T111345,caom:JCMT/scuba2_00024_20131214T111345/raw-450um
IRC+10216,146.9931624431,13.2838054936,JCMTCAL,56333.3726505,35,SCUBA-2,SCUBA-2-450um,166,pointing,science,raw-450um,scuba2_00035_20130210T085612,caom:JCMT/scuba2_00035_20130210T085612/raw-450um
IRC+10216,147.0081462281,13.2799159547,JCMTCAL,56615.5378472,51,SCUBA-2,SCUBA-2-450um,105,pointing,science,raw-450um,scuba2_00051_20131119T125036,caom:JCMT/scuba2_00051_20131119T125036/raw-450um
IRC+10216,146.9998699719,13.2918607787,JCMTCAL,56325.5201157,46,SCUBA-2,SCUBA-2-450um,270,pointing,science,raw-450um,scuba2_00046_20130202T122841,caom:JCMT/scuba2_00046_20130202T122841/raw-450um
IRC+10216,146.9973011984,13.2924164263,JCMTCAL,56398.4142824,15,SCUBA-2,SCUBA-2-450um,261,pointing,science,raw-450um,scuba2_00015_20130416T095623,caom:JCMT/scuba2_00015_20130416T095623/raw-450um
IRC+10216,147.00771813,13.2800548739,JCMTCAL,56622.5276736,77,SCUBA-2,SCUBA-2-450um,188,pointing,science,raw-450um,scuba2_00077_20131126T123618,caom:JCMT/scuba2_00077_20131126T123618/raw-450um
IRC+10216,146.9984428796,13.2922774965,JCMTCAL,56331.5701505,52,SCUBA-2,SCUBA-2-450um,171,pointing,science,raw-450um,scuba2_00052_20130208T134032,caom:JCMT/scuba2_00052_20130208T134032/raw-450um
IRC+10216,146.9998700566,13.2938052053,JCMTCAL,56409.2833681,15,SCUBA-2,SCUBA-2-450um,177,pointing,science,raw-450um,scuba2_00015_20130427T064551,caom:JCMT/scuba2_00015_20130427T064551/raw-450um
