Target Name,RA (J2000.0),Dec. (J2000.0),Proposal ID,Start Date,Sequence Number,Instrument,Filter,Int. Time,Obs. Type,Intent,Obs. ID,DOWNLOADABLE
oCeti,34.84362037,-2.964638967,JCMTCAL,56844.82279,74,SCUBA-2,SCUBA-2-850um,190,pointing,science,scuba2_00074_20140706T194412,caom:JCMT/scuba2_00074_20140706T194412/raw-850um
oCeti,34.83708389,-2.96061119,JCMTCAL,56851.74958,68,SCUBA-2,SCUBA-2-850um,266,pointing,science,scuba2_00068_20140713T175918,caom:JCMT/scuba2_00068_20140713T175918/raw-850um
oCeti,34.84250778,-2.964916741,JCMTCAL,56959.46416,35,SCUBA-2,SCUBA-2-850um,272,pointing,science,scuba2_00035_20141029T110809,caom:JCMT/scuba2_00035_20141029T110809/raw-850um
oCeti,34.83764019,-2.969222259,JCMTCAL,56865.72484,64,SCUBA-2,SCUBA-2-850um,234,pointing,science,scuba2_00064_20140727T172327,caom:JCMT/scuba2_00064_20140727T172327/raw-850um
oCeti,34.83777927,-2.968944484,JCMTCAL,56866.72999,64,SCUBA-2,SCUBA-2-850um,265,pointing,science,scuba2_00064_20140728T173105,caom:JCMT/scuba2_00064_20140728T173105/raw-850um
oCeti,34.84264685,-2.964916742,JCMTCAL,56875.69791,77,SCUBA-2,SCUBA-2-850um,193,pointing,science,scuba2_00077_20140806T164411,caom:JCMT/scuba2_00077_20140806T164411/raw-850um
oCeti,34.84014354,-2.971583372,JCMTCAL,56992.25735,17,SCUBA-2,SCUBA-2-850um,190,pointing,science,scuba2_00017_20141201T060949,caom:JCMT/scuba2_00017_20141201T060949/raw-850um
oCeti,34.84028262,-2.972555584,JCMTCAL,56959.33185,22,SCUBA-2,SCUBA-2-850um,275,pointing,science,scuba2_00022_20141029T075736,caom:JCMT/scuba2_00022_20141029T075736/raw-850um
oCeti,34.84000446,-2.971166711,JCMTCAL,56979.29926,45,SCUBA-2,SCUBA-2-850um,230,pointing,science,scuba2_00045_20141118T071051,caom:JCMT/scuba2_00045_20141118T071051/raw-850um
oCeti,34.82540153,-2.975749952,JCMTCAL,56825.78213,75,SCUBA-2,SCUBA-2-850um,206,pointing,science,scuba2_00075_20140617T184508,caom:JCMT/scuba2_00075_20140617T184508/raw-850um
oCeti,34.84014354,-2.972000035,JCMTCAL,57010.20513,16,SCUBA-2,SCUBA-2-850um,189,pointing,science,scuba2_00016_20141219T045229,caom:JCMT/scuba2_00016_20141219T045229/raw-850um
oCeti,34.8415343,-2.973527801,JCMTCAL,56992.19767,9,SCUBA-2,SCUBA-2-850um,187,pointing,science,scuba2_00009_20141201T044123,caom:JCMT/scuba2_00009_20141201T044123/raw-850um
oCeti,34.83986538,-2.96977784,JCMTCAL,57001.25948,22,SCUBA-2,SCUBA-2-850um,191,pointing,science,scuba2_00022_20141210T061234,caom:JCMT/scuba2_00022_20141210T061234/raw-850um
oCeti,34.83819649,-2.969222262,JCMTCAL,56866.78351,73,SCUBA-2,SCUBA-2-850um,302,pointing,science,scuba2_00073_20140728T184806,caom:JCMT/scuba2_00073_20140728T184806/raw-850um
oCeti,34.84111707,-2.973527802,JCMTCAL,56886.49343,35,SCUBA-2,SCUBA-2-850um,229,pointing,science,scuba2_00035_20140817T115026,caom:JCMT/scuba2_00035_20140817T115026/raw-850um
oCeti,34.83917002,-2.973527806,JCMTCAL,56942.37131,30,SCUBA-2,SCUBA-2-850um,271,pointing,science,scuba2_00030_20141012T085141,caom:JCMT/scuba2_00030_20141012T085141/raw-850um
oCeti,34.84334222,-2.964777855,JCMTCAL,56989.40696,33,SCUBA-2,SCUBA-2-850um,268,pointing,science,scuba2_00033_20141128T094521,caom:JCMT/scuba2_00033_20141128T094521/raw-850um
oCeti,34.84014354,-2.972416696,JCMTCAL,56891.5208,44,SCUBA-2,SCUBA-2-850um,187,pointing,science,scuba2_00044_20140822T122920,caom:JCMT/scuba2_00044_20140822T122920/raw-850um
oCeti,34.84222963,-2.965055625,JCMTCAL,56902.61242,48,SCUBA-2,SCUBA-2-850um,187,pointing,science,scuba2_00048_20140902T144102,caom:JCMT/scuba2_00048_20140902T144102/raw-850um
oCeti,34.84153426,-2.965333408,JCMTCAL,56923.52964,42,SCUBA-2,SCUBA-2-850um,192,pointing,science,scuba2_00042_20140923T124229,caom:JCMT/scuba2_00042_20140923T124229/raw-850um
oCeti,34.84306406,-2.962694527,JCMTCAL,56709.20078,14,SCUBA-2,SCUBA-2-850um,269,pointing,science,scuba2_00014_20140221T044654,caom:JCMT/scuba2_00014_20140221T044654/raw-850um
oCeti,34.83986538,-2.968527852,JCMTCAL,56984.32112,20,SCUBA-2,SCUBA-2-850um,190,pointing,science,scuba2_00020_20141123T074113,caom:JCMT/scuba2_00020_20141123T074113/raw-850um
oCeti,34.84306407,-2.96491674,JCMTCAL,56684.32109,19,SCUBA-2,SCUBA-2-850um,350,pointing,science,scuba2_00019_20140127T074210,caom:JCMT/scuba2_00019_20140127T074210/raw-850um
oCeti,34.84028262,-2.972555584,JCMTCAL,56943.37594,32,SCUBA-2,SCUBA-2-850um,271,pointing,science,scuba2_00032_20141013T090115,caom:JCMT/scuba2_00032_20141013T090115/raw-850um
