Source,Wavelength,Obs_ID,UT_Date,MJD,Obs_Time
IRC+10216,850,scuba2_00045_20130104T112559,20130104,56296.4773076,2013-01-04T11:27:19.374
IRC+10216,850,scuba2_00064_20130104T153401,20130104,56296.6496192,2013-01-04T15:35:27.100
IRC+10216,850,scuba2_00038_20130107T113842,20130107,56299.4862085,2013-01-07T11:40:08.414
IRC+10216,850,scuba2_00047_20130107T145601,20130107,56299.6232787,2013-01-07T14:57:31.275
IRC+10216,850,scuba2_00055_20130107T162951,20130107,56299.6883583,2013-01-07T16:31:14.159
IRC+10216,850,scuba2_00055_20130108T133402,20130108,56300.5665414,2013-01-08T13:35:49.175
IRC+10216,850,scuba2_00058_20130108T143008,20130108,56300.6053745,2013-01-08T14:31:44.361
IRC+10216,850,scuba2_00063_20130108T153253,20130108,56300.648529,2013-01-08T15:33:52.905
IRC+10216,850,scuba2_00064_20130110T154153,20130110,56302.6548744,2013-01-10T15:43:01.146
IRC+10216,850,scuba2_00039_20130114T095703,20130114,56306.415364,2013-01-14T09:58:07.453
IRC+10216,850,scuba2_00055_20130114T133532,20130114,56306.5678284,2013-01-14T13:37:40.373
IRC+10216,850,scuba2_00028_20130119T095930,20130119,56311.4172861,2013-01-19T10:00:53.519
IRC+10216,850,scuba2_00034_20130121T092308,20130121,56313.3917982,2013-01-21T09:24:11.366
IRC+10216,850,scuba2_00062_20130121T141300,20130121,56313.5934012,2013-01-21T14:14:29.862
IRC+10216,850,scuba2_00016_20130122T093411,20130122,56314.399651,2013-01-22T09:35:29.846
IRC+10216,850,scuba2_00019_20130122T102437,20130122,56314.4347319,2013-01-22T10:26:00.833
IRC+10216,850,scuba2_00036_20130122T142121,20130122,56314.5992452,2013-01-22T14:22:54.782
IRC+10216,850,scuba2_00039_20130122T151256,20130122,56314.6349201,2013-01-22T15:14:17.095
IRC+10216,850,scuba2_00042_20130123T101514,20130123,56315.4281959,2013-01-23T10:16:36.125
IRC+10216,850,scuba2_00046_20130123T105847,20130123,56315.4585042,2013-01-23T11:00:14.766
IRC+10216,850,scuba2_00049_20130123T114030,20130123,56315.487374,2013-01-23T11:41:49.116
IRC+10216,850,scuba2_00056_20130123T131306,20130123,56315.5518864,2013-01-23T13:14:42.982
IRC+10216,850,scuba2_00063_20130123T142156,20130123,56315.5995752,2013-01-23T14:23:23.293
IRC+10216,850,scuba2_00029_20130124T084658,20130124,56316.3668531,2013-01-24T08:48:16.104
IRC+10216,850,scuba2_00037_20130124T100335,20130124,56316.4199148,2013-01-24T10:04:40.641
IRC+10216,850,scuba2_00040_20130124T104542,20130124,56316.4493795,2013-01-24T10:47:06.391
IRC+10216,850,scuba2_00047_20130124T131250,20130124,56316.5517052,2013-01-24T13:14:27.326
IRC+10216,850,scuba2_00050_20130124T135512,20130124,56316.5810263,2013-01-24T13:56:40.668
IRC+10216,850,scuba2_00054_20130124T144839,20130124,56316.6180893,2013-01-24T14:50:02.913
IRC+10216,850,scuba2_00033_20130125T091201,20130125,56317.3842539,2013-01-25T09:13:19.536
IRC+10216,850,scuba2_00040_20130125T105828,20130125,56317.4583262,2013-01-25T10:59:59.383
IRC+10216,850,scuba2_00051_20130125T134007,20130125,56317.5703129,2013-01-25T13:41:15.035
IRC+10216,850,scuba2_00054_20130128T150224,20130128,56320.6274009,2013-01-28T15:03:27.434
IRC+10216,850,scuba2_00046_20130202T122841,20130202,56325.520796,2013-02-02T12:29:56.773
IRC+10216,850,scuba2_00052_20130202T142203,20130202,56325.5995513,2013-02-02T14:23:21.229
IRC+10216,850,scuba2_00046_20130203T124041,20130203,56326.5300552,2013-02-03T12:43:16.773
IRC+10216,850,scuba2_00051_20130203T134508,20130203,56326.573959,2013-02-03T13:46:30.058
IRC+10216,850,scuba2_00043_20130204T121839,20130204,56327.514899,2013-02-04T12:21:27.274
IRC+10216,850,scuba2_00051_20130204T140315,20130204,56327.5865042,2013-02-04T14:04:33.964
